description,solution,question,answer
"A woman finds an unopened letter in her mailbox, reads it, then throws it into the fireplace without hesitation.",The letter was from her stalker. It contained chilling details about her daily routine and threatened harm if she went to the police. Burning it was her way of denying him any power over her emotions. She called the authorities immediately after.,Did she know who send the email?,YES
"A woman finds an unopened letter in her mailbox, reads it, then throws it into the fireplace without hesitation.",The letter was from her stalker. It contained chilling details about her daily routine and threatened harm if she went to the police. Burning it was her way of denying him any power over her emotions. She called the authorities immediately after.,Did she had red hair?,PASS
"A woman finds an unopened letter in her mailbox, reads it, then throws it into the fireplace without hesitation.",The letter was from her stalker. It contained chilling details about her daily routine and threatened harm if she went to the police. Burning it was her way of denying him any power over her emotions. She called the authorities immediately after.,Did she knew already what will be in the letter?,NO
"A woman finds an unopened letter in her mailbox, reads it, then throws it into the fireplace without hesitation.",The letter was from her stalker. It contained chilling details about her daily routine and threatened harm if she went to the police. Burning it was her way of denying him any power over her emotions. She called the authorities immediately after.,Did she get stalked?,YES
"A woman finds an unopened letter in her mailbox, reads it, then throws it into the fireplace without hesitation.",The letter was from her stalker. It contained chilling details about her daily routine and threatened harm if she went to the police. Burning it was her way of denying him any power over her emotions. She called the authorities immediately after.,wekqjfbfke ,PASS
"A woman finds an unopened letter in her mailbox, reads it, then throws it into the fireplace without hesitation.",The letter was from her stalker. It contained chilling details about her daily routine and threatened harm if she went to the police. Burning it was her way of denying him any power over her emotions. She called the authorities immediately after.,Does the content of the letter matter?,YES
"A woman finds an unopened letter in her mailbox, reads it, then throws it into the fireplace without hesitation.",The letter was from her stalker. It contained chilling details about her daily routine and threatened harm if she went to the police. Burning it was her way of denying him any power over her emotions. She called the authorities immediately after.,Was she in relationship with the author of the letter?,NO
"A couple checks into a hotel and refuses a room on the top floor, insisting on one closer to the ground. That night, they don't sleep at all.","The top-floor room was where a murder had occurred years before, and it was rumored to be haunted. While they avoided the infamous room, they were tormented all night by eerie whispers coming from the air vents, which were connected to the top floor.",Did something happen on the top floor?,YES
"A couple checks into a hotel and refuses a room on the top floor, insisting on one closer to the ground. That night, they don't sleep at all.","The top-floor room was where a murder had occurred years before, and it was rumored to be haunted. While they avoided the infamous room, they were tormented all night by eerie whispers coming from the air vents, which were connected to the top floor.",Did they get robbed?,NO
"A couple checks into a hotel and refuses a room on the top floor, insisting on one closer to the ground. That night, they don't sleep at all.","The top-floor room was where a murder had occurred years before, and it was rumored to be haunted. While they avoided the infamous room, they were tormented all night by eerie whispers coming from the air vents, which were connected to the top floor.",Did they hear something?,YES
"A couple checks into a hotel and refuses a room on the top floor, insisting on one closer to the ground. That night, they don't sleep at all.","The top-floor room was where a murder had occurred years before, and it was rumored to be haunted. While they avoided the infamous room, they were tormented all night by eerie whispers coming from the air vents, which were connected to the top floor.",Did husband was attacked or the wife?,PASS
"A couple checks into a hotel and refuses a room on the top floor, insisting on one closer to the ground. That night, they don't sleep at all.","The top-floor room was where a murder had occurred years before, and it was rumored to be haunted. While they avoided the infamous room, they were tormented all night by eerie whispers coming from the air vents, which were connected to the top floor.",Did it matter in which country this is happening?,NO
"A couple checks into a hotel and refuses a room on the top floor, insisting on one closer to the ground. That night, they don't sleep at all.","The top-floor room was where a murder had occurred years before, and it was rumored to be haunted. While they avoided the infamous room, they were tormented all night by eerie whispers coming from the air vents, which were connected to the top floor.",Did the vent was connected to the top floor?,YES
"A couple checks into a hotel and refuses a room on the top floor, insisting on one closer to the ground. That night, they don't sleep at all.","The top-floor room was where a murder had occurred years before, and it was rumored to be haunted. While they avoided the infamous room, they were tormented all night by eerie whispers coming from the air vents, which were connected to the top floor.",Who was attacked?,PASS
A child tells their parents that their new doll cries every night when everyone is asleep.,"The doll wasn’t crying—it had a hidden camera and microphone installed by a stranger. The intruder used the microphone to listen and occasionally spoke, mimicking sobs to scare the child. The parents found out when the child’s cries woke them, and they saw the doll's eyes faintly glowing in the dark.",Did the doll really cried?,NO
A child tells their parents that their new doll cries every night when everyone is asleep.,"The doll wasn’t crying—it had a hidden camera and microphone installed by a stranger. The intruder used the microphone to listen and occasionally spoke, mimicking sobs to scare the child. The parents found out when the child’s cries woke them, and they saw the doll's eyes faintly glowing in the dark.",Did the parents know what was happening?,NO
A child tells their parents that their new doll cries every night when everyone is asleep.,"The doll wasn’t crying—it had a hidden camera and microphone installed by a stranger. The intruder used the microphone to listen and occasionally spoke, mimicking sobs to scare the child. The parents found out when the child’s cries woke them, and they saw the doll's eyes faintly glowing in the dark.",Who set camera in the doll?,PASS
